ID    |TERMINO                       |CF    |DF    
--------------------------------------------------
0     | +165                         |1     |1     
1     | +54                          |62    |61    
2     | -01                          |1     |1     
3     | -013                         |1     |1     
4     | -014                         |1     |1     
5     | -016                         |2     |1     
6     | -017                         |1     |1     
7     | -018                         |1     |1     
8     | -019                         |1     |1     
9     | -0234                        |1     |1     
10    | -024                         |1     |1     
11    | -025                         |1     |1     
12    | -033                         |1     |1     
13    | -044                         |1     |1     
14    | -065                         |1     |1     
15    | -1                           |24    |24    
16    | -10                          |1     |1     
17    | -1000                        |13    |1     
18    | -1019803690                  |2     |2     
19    | -1044525330                  |2     |2     
20    | -1051523                     |1     |1     
21    | -1069501632                  |2     |2     
22    | -1094730640                  |2     |2     
23    | -1111                        |1     |1     
24    | -1120210379                  |2     |2     
25    | -120                         |1     |1     
26    | -13                          |1     |1     
27    | -1416354905                  |2     |2     
28    | -1444681467                  |2     |2     
29    | -145523070                   |1     |1     
30    | -1473231341                  |2     |2     
31    | -15                          |3     |2     
32    | -1502002290                  |2     |2     
33    | -1530992060                  |2     |2     
34    | -155497632                   |2     |2     
35    | -1560198380                  |1     |1     
36    | -165796510                   |2     |2     
37    | -1732584194                  |1     |1     
38    | -176418897                   |2     |2     
39    | -187363961                   |2     |2     
40    | -1894986606                  |2     |2     
41    | -1926607734                  |2     |2     
42    | -1958414417                  |2     |2     
43    | -198630844                   |2     |2     
44    | -1990404162                  |2     |2     
45    | -1997                        |1     |1     
46    | -2                           |2     |1     
47    | -2000                        |8     |1     
48    | -2012                        |7     |1     
49    | -2013                        |1     |1     
50    | -2022574463                  |2     |2     
51    | -2054922799                  |1     |1     
52    | -210                         |1     |1     
53    | -2147483648                  |1     |1     
54    | -271733879                   |2     |2     
55    | -29                          |1     |1     
56    | -30611744                    |1     |1     
57    | -343485551                   |2     |2     
58    | -35309556                    |2     |2     
59    | -358537222                   |2     |2     
60    | -373897302                   |2     |2     
61    | -378558                      |2     |2     
62    | -389564586                   |2     |2     
63    | -40341101                    |2     |2     
64    | -405537848                   |2     |2     
65    | -42063                       |2     |2     
66    | -4213481                     |3     |1     
67    | -421815835                   |2     |2     
68    | -4222146                     |1     |1     
69    | -422644                      |1     |1     
70    | -423                         |2     |1     
71    | -4243054                     |1     |1     
72    | -426759                      |1     |1     
73    | -439650                      |1     |1     
74    | -443742                      |1     |1     
75    | -45705983                    |2     |2     
76    | -4676518                     |1     |1     
77    | -482                         |1     |1     
78    | -5                           |7     |3     
79    | -51403784                    |2     |2     
80    | -5400                        |2     |1     
